Country,country_code,Year,Month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,currency
Argentina,ARG,2015,7,28,9.135,3.0651341,5.845511482,-36.00972652,ARS
Australia,AUS,2015,7,5.3,1.35126005,3.922265,1.106471816,-18.11555324,AUD
Brazil,BRA,2015,7,13.5,3.15235,4.28251939,2.818371608,-10.59458475,BRL
Britain,GBR,2015,7,2.89,0.640450877,4.512446,0.603340292,-5.794446764,GBP
Canada,CAN,2015,7,5.85,1.2897,4.53593859,1.221294363,-5.303996026,CAD
Chile,CHL,2015,7,2100,642.45,3.268736867,438.4133612,-31.75914683,CLP
China,CHN,2015,7,17,6.2092,2.737872834,3.549060543,-42.84190326,CNY
Colombia,COL,2015,7,7900,2708.9,2.916312895,1649.269311,-39.11664103,COP
Costa Rica,CRI,2015,7,2150,533.3,4.031501969,448.8517745,-15.83503197,CRC
Czech Republic,CZE,2015,7,70,24.70225,2.833749962,14.61377871,-40.84029307,CZK
Denmark,DNK,2015,7,34.59,6.81105,5.078512124,7.221294363,6.023217613,DKK
Egypt,EGY,2015,7,16.93,7.83005,2.162182872,3.534446764,-54.86048283,EGP
Euro area,EUR,2015,7,3.7,0.912700224,4.053905,0.772442589,-15.36732777,EUR
Hong Kong,HKG,2015,7,19.2,7.7508,2.477163648,4.008350731,-48.28468377,HKD
Hungary,HUN,2015,7,900,282.8778,3.18158583,187.8914405,-33.57858393,HUF
India,IND,2015,7,116.25,63.43,1.832728993,24.26931106,-61.73843439,INR
Indonesia,IDN,2015,7,30500,13344.5,2.285585822,6367.43215,-52.28422084,IDR
Israel,ISR,2015,7,17.5,3.77835,4.631651382,3.653444676,-3.305816655,ILS
Japan,JPN,2015,7,370,123.935,2.985435914,77.24425887,-37.67357173,JPY
Latvia,LVA,2015,7,2.45,0.912700224,2.6843425,0.511482255,-43.95944676,LVL
Lithuania,LTU,2015,7,2.59,0.912700224,2.8377335,0.540709812,-40.75712944,LTL
Malaysia,MYS,2015,7,7.65,3.8065,2.009720215,1.597077244,-58.0434193,MYR
Mexico,MEX,2015,7,49,15.73975,3.113137121,10.22964509,-35.00757576,MXN
New Zealand,NZL,2015,7,5.9,1.509092281,3.909635,1.231732777,-18.37922756,NZD
Norway,NOR,2015,7,46,8.14255,5.649335896,9.603340292,17.9402066,NOK
Pakistan,PAK,2015,7,350,101.7,3.441494592,73.06889353,-28.15251374,PKR
Peru,PER,2015,7,10,3.1835,3.141196796,2.087682672,-34.42177879,PEN
Philippines,PHL,2015,7,163,45.2125,3.605197678,34.02922756,-24.73491278,PHP
Poland,POL,2015,7,9.6,3.7736,2.543989824,2.004175365,-46.88956526,PLN
Russia,RUS,2015,7,107,56.815,1.883305465,22.33820459,-60.68255814,RUB
Saudi Arabia,SAU,2015,7,12,3.75055,3.199530735,2.505219207,-33.20395124,SAR
Singapore,SGP,2015,7,4.7,1.3664,3.43969555,0.981210856,-28.19007202,SGD
South Africa,ZAF,2015,7,26,12.41455,2.094316749,5.427974948,-56.27731212,ZAR
South Korea,KOR,2015,7,4300,1143.5,3.760384784,897.7035491,-21.49509846,KRW
Sri Lanka,LKA,2015,7,350,133.85,2.614867389,73.06889353,-45.40986662,LKR
Sweden,SWE,2015,7,43.7,8.52265,5.127513156,9.123173278,7.046203677,SEK
Switzerland,CHE,2015,7,6.5,0.9528,6.821998321,1.356993737,42.42167684,CHF
Taiwan,TWN,2015,7,79,31.02,2.546744036,16.49269311,-46.83206605,TWD
Thailand,THA,2015,7,108,34.0875,3.168316832,22.54697286,-33.8555985,THB
Turkey,TUR,2015,7,10.25,2.6457,3.874210984,2.139874739,-19.1187686,TRY
UAE,ARE,2015,7,13,3.67295,3.539389319,2.713987474,-26.10878248,AED
Ukraine,UKR,2015,7,34,21.95,1.548974943,7.098121086,-67.66231852,UAH
United States,USA,2015,7,4.79,1,4.79,1,0,USD
Uruguay,URY,2015,7,113,27.345,4.13238252,23.5908142,-13.72896619,UYU
Venezuela,VEN,2015,7,132,197,0.670050761,27.55741127,-86.01146636,VEF
Vietnam,VNM,2015,7,60000,21810,2.751031637,12526.09603,-42.56718921,VND
Austria,AUT,2015,7,3.39,0.912700224,3.7142535,0.707724426,-22.45817328,EUR
Belgium,BEL,2015,7,3.7,0.912700224,4.053905,0.772442589,-15.36732777,EUR
Estonia,EST,2015,7,2.95,0.912700224,3.2321675,0.615866388,-32.52259916,EUR
Finland,FIN,2015,7,4.1,0.912700224,4.492165,0.855949896,-6.217849687,EUR
France,FRA,2015,7,4.1,0.912700224,4.492165,0.855949896,-6.217849687,EUR
Germany,DEU,2015,7,3.59,0.912700224,3.9333835,0.749478079,-17.88343424,EUR
Greece,GRC,2015,7,3.05,0.912700224,3.3417325,0.636743215,-30.23522965,EUR
Ireland,IRL,2015,7,3.7,0.912700224,4.053905,0.772442589,-15.36732777,EUR
Italy,ITA,2015,7,4,0.912700224,4.3826,0.835073069,-8.505219207,EUR
Netherlands,NLD,2015,7,3.45,0.912700224,3.7799925,0.720250522,-21.08575157,EUR
Portugal,PRT,2015,7,3,0.912700224,3.28695,0.626304802,-31.37891441,EUR
Spain,ESP,2015,7,3.65,0.912700224,3.9991225,0.762004175,-16.51101253,EUR
Argentina,ARG,2014,7,21,8.16875,2.570772762,4.379562044,-46.38638661,ARS
Australia,AUS,2014,7,5.1,1.059378145,4.814145,1.063607925,0.399270073,AUD
Brazil,BRA,2014,7,13,2.22025,5.855196487,2.711157456,22.11045854,BRL
Britain,GBR,2014,7,2.89,0.586785589,4.925138,0.602711157,2.714035454,GBP
Canada,CAN,2014,7,5.64,1.07405,5.251152181,1.176225235,9.513079896,CAD
Chile,CHL,2014,7,2100,564.14,3.722480235,437.9562044,-22.3674612,CLP
China,CHN,2014,7,16.9,6.1983,2.726554055,3.524504692,-43.13755881,CNY
Colombia,COL,2014,7,8600,1847.65,4.654561199,1793.534932,-2.928859242,COP
Costa Rica,CRI,2014,7,2150,537.3,4.001488926,448.3837331,-16.54871895,CRC
Czech Republic,CZE,2014,7,70.45,20.3877,3.455514845,14.6923879,-27.93503973,CZK
Denmark,DNK,2014,7,28.5,5.5388,5.145518885,5.943691345,7.310091449,DKK
Egypt,EGY,2014,7,16.93,7.15005,2.36781561,3.53076121,-50.61906966,EGP
Euro area,EUR,2014,7,3.67923829,0.742748914,4.953542471,0.767307255,3.306412329,EUR
Hong Kong,HKG,2014,7,18.8,7.75045,2.425665607,3.920750782,-49.41260466,HKD
Hungary,HUN,2014,7,860,228.30615,3.766871808,179.3534932,-21.44167241,HUF
India,IND,2014,7,105,60.08875,1.747415282,21.89781022,-63.55755409,INR
Indonesia,IDN,2014,7,27939,11505,2.428422425,5826.694473,-49.35511105,IDR
Israel,ISR,2014,7,17.5,3.4138,5.12625227,3.649635036,6.908285093,ILS
Japan,JPN,2014,7,370,101.53,3.644243081,77.1637122,-23.99910155,JPY
Lithuania,LTU,2014,7,8.95,2.56455,3.489891014,1.866527633,-27.21812275,LTL
Malaysia,MYS,2014,7,7.63,3.1675,2.408839779,1.591240876,-49.76350826,MYR
Mexico,MEX,2014,7,42,12.93255,3.247619379,8.759124088,-32.2707116,MXN
New Zealand,NZL,2014,7,5.7,1.152737752,4.94475,1.188738269,3.123044838,NZD
Norway,NOR,2014,7,48,6.1873,7.757826516,10.01042753,61.78991691,NOK
Pakistan,PAK,2014,7,300,98.68,3.040129712,62.56517205,-36.5979205,PKR
Peru,PER,2014,7,10,2.788,3.586800574,2.085505735,-25.19706832,PEN
Philippines,PHL,2014,7,160,43.205,3.703275084,33.36809176,-22.76798574,PHP
Poland,POL,2014,7,9.2,3.0714,2.995376701,1.918665276,-37.53124711,PLN
Russia,RUS,2014,7,89,34.83725,2.554736668,18.56100104,-46.72082026,RUB
Saudi Arabia,SAU,2014,7,11,3.75035,2.933059581,2.294056309,-38.83087422,SAR
Singapore,SGP,2014,7,4.7,1.238,3.79644588,0.980187696,-20.82490343,SGD
South Africa,ZAF,2014,7,24.5,10.5145,2.330115555,5.109489051,-51.40530647,ZAR
South Korea,KOR,2014,7,4100,1023.75,4.004884005,855.0573514,-16.47791439,KRW
Sri Lanka,LKA,2014,7,350,130.255,2.687036966,72.99270073,-43.96168997,LKR
Sweden,SWE,2014,7,40.7,6.836,5.953774137,8.488008342,24.16630108,SEK
Switzerland,CHE,2014,7,6.16,0.9024,6.826241135,1.284671533,42.36165036,CHF
Taiwan,TWN,2014,7,79,29.982,2.634914282,16.47549531,-45.04871153,TWD
Thailand,THA,2014,7,99,31.78,3.115166772,20.64650678,-35.03301832,THB
Turkey,TUR,2014,7,9.25,2.09125,4.423191871,1.929092805,-7.754079856,TRY
UAE,ARE,2014,7,13,3.67305,3.539292958,2.711157456,-26.18784237,AED
Ukraine,UKR,2014,7,19,11.685,1.62601626,3.962460897,-66.08933764,UAH
United States,USA,2014,7,4.795,1,4.795,1,0,USD
