country,country_code,year,month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,ARG,2012,7,19.00,4.57,4.16,4.39,-3.85
Australia,AUS,2012,7,4.56,0.97,4.68,1.05,8.15
Brazil,BRA,2012,7,10.08,2.04,4.94,2.33,14.06
Britain,GBR,2012,7,2.69,0.65,4.16,0.62,-3.82
Canada,CAN,2012,7,5.12,1.02,5.02,1.18,16.06
Chile,CHL,2012,7,2050.00,493.05,4.16,473.71,-3.92
China,CHN,2012,7,15.65,6.39,2.45,3.62,-43.39
Colombia,COL,2012,7,8600.00,1804.48,4.77,1987.29,10.13
Costa Rica,CRI,2012,7,1200.00,501.02,2.40,277.30,-44.65
Czech Republic,CZE,2012,7,70.33,21.05,3.34,16.25,-22.79
Denmark,DNK,2012,7,28.50,6.14,4.65,6.59,7.34
Egypt,EGY,2012,7,16.00,6.07,2.64,3.70,-39.05
Euro area,,2012,7,3.58,0.82,4.34,0.83,0.39
Hong Kong,HKG,2012,7,16.50,7.76,2.13,3.81,-50.85
Hungary,HUN,2012,7,830.00,238.22,3.48,191.80,-19.49
India,IND,2012,7,89.00,56.17,1.58,20.57,-63.38
Indonesia,IDN,2012,7,24200.00,9482.50,2.55,5592.14,-41.03
Israel,ISR,2012,7,11.90,4.08,2.92,2.75,-32.54
Japan,JPN,2012,7,320.00,78.22,4.09,73.95,-5.46
Latvia,LVA,2012,7,1.69,0.57,2.94,0.39,-32.01
Lithuania,LTU,2012,7,7.80,2.85,2.74,1.80,-36.71
Malaysia,MYS,2012,7,7.40,3.17,2.33,1.71,-46.12
Mexico,MEX,2012,7,37.00,13.69,2.70,8.55,-37.53
New Zealand,NZL,2012,7,5.10,1.27,4.00,1.18,-7.46
Norway,NOR,2012,7,43.00,6.09,7.06,9.94,63.11
Pakistan,PAK,2012,7,285.00,94.61,3.01,65.86,-30.39
Peru,PER,2012,7,#N/A,#N/A,#N/A,#N/A,#N/A
Philippines,PHL,2012,7,118.00,42.20,2.80,27.27,-35.39
Poland,POL,2012,7,9.10,3.46,2.63,2.10,-39.23
Russia,RUS,2012,7,75.00,32.77,2.29,17.33,-47.11
Saudi Arabia,SAU,2012,7,10.00,3.75,2.67,2.31,-38.38
Singapore,SGP,2012,7,4.40,1.26,3.50,1.02,-19.21
South Africa,ZAF,2012,7,19.95,8.47,2.36,4.61,-45.56
South Korea,KOR,2012,7,3700.00,1151.00,3.21,855.00,-25.72
Sri Lanka,LKA,2012,7,290.00,131.00,2.21,67.01,-48.84
Sweden,SWE,2012,7,39.97,6.98,5.73,9.24,32.38
Switzerland,CHE,2012,7,6.50,0.99,6.56,1.50,51.63
Taiwan,TWN,2012,7,75.00,30.20,2.48,17.33,-42.60
Thailand,THA,2012,7,82.00,31.70,2.59,18.95,-40.23
Turkey,TUR,2012,7,8.25,1.83,4.52,1.91,4.35
UAE,ARE,2012,7,12.00,3.67,3.27,2.77,-24.50
Ukraine,UKR,2012,7,15.00,8.09,1.86,3.47,-57.13
United States,USA,2012,7,4.33,1.00,4.33,1.00,0.00
Uruguay,URY,2012,7,99.00,21.87,4.53,22.88,4.60
Venezuela,VEN,2012,7,34.00,4.29,7.92,7.86,82.94
Austria,AUT,2012,7,3.19,0.82,3.87,0.74,-10.63
Belgium,BEL,2012,7,3.80,0.82,4.61,0.88,6.46
Estonia,EST,2012,7,2.04,0.82,2.47,0.47,-42.85
Finland,FIN,2012,7,3.75,0.82,4.55,0.87,5.06
France,FRA,2012,7,3.60,0.82,4.36,0.83,0.85
Germany,DEU,2012,7,3.64,0.82,4.41,0.84,1.97
Greece,GRC,2012,7,2.68,0.82,3.25,0.62,-24.84
Ireland,IRL,2012,7,3.49,0.82,4.23,0.81,-2.23
Italy,ITA,2012,7,3.60,0.82,4.36,0.83,0.85
Netherlands,NLD,2012,7,3.38,0.82,4.10,0.78,-5.31
Portugal,PRT,2012,7,4.95,0.82,6.00,1.14,38.67
Spain,ESP,2012,7,3.50,0.82,4.24,0.81,-1.95
,,,,,,,,
