country,country_code,year,month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,ARG,2005,6,4.75,2.90,1.64,1.55,-46.42
Australia,AUS,2005,6,3.25,1.30,2.50,1.06,-18.39
Brazil,BRA,2005,6,5.90,2.46,2.39,1.93,-21.77
Britain,GBR,2005,6,1.88,0.55,3.44,0.61,12.43
Canada,CAN,2005,6,3.28,1.25,2.63,1.07,-14.21
Chile,CHL,2005,6,1500.00,592.45,2.53,490.20,-17.26
China,CHN,2005,6,10.50,8.28,1.27,3.43,-58.54
Colombia,COL,2005,6,6500.00,2327.70,2.79,2124.18,-8.74
Costa Rica,CRI,2005,6,1130.00,475.30,2.38,369.28,-22.31
Czech Republic,CZE,2005,6,56.42,24.54,2.30,18.44,-24.87
Denmark,DNK,2005,6,27.75,6.06,4.58,9.07,49.53
Egypt,EGY,2005,6,9.00,5.80,1.55,2.94,-49.29
Euro area,,2005,6,2.92,0.81,3.58,0.95,17.10
Hong Kong,HKG,2005,6,12.00,7.78,1.54,3.92,-49.60
Hungary,HUN,2005,6,530.00,203.64,2.60,173.20,-14.95
India,IND,2005,6,#N/A,#N/A,#N/A,#N/A,#N/A
Indonesia,IDN,2005,6,14600.00,9545.00,1.53,4771.24,-50.01
Israel,ISR,2005,6,#N/A,#N/A,#N/A,#N/A,#N/A
Japan,JPN,2005,6,250.00,106.72,2.34,81.70,-23.44
Latvia,LVA,2005,6,1.09,0.57,1.92,0.36,-37.19
Lithuania,LTU,2005,6,6.50,2.81,2.31,2.12,-24.49
Malaysia,MYS,2005,6,5.25,3.80,1.38,1.72,-54.85
Mexico,MEX,2005,6,28.00,10.87,2.58,9.15,-15.80
New Zealand,NZL,2005,6,4.45,1.40,3.17,1.45,3.70
Norway,NOR,2005,6,39.00,6.43,6.06,12.75,98.13
Pakistan,PAK,2005,6,130.00,59.62,2.18,42.48,-28.74
Peru,PER,2005,6,8.99,3.25,2.76,2.94,-9.73
Philippines,PHL,2005,6,80.00,54.55,1.47,26.14,-52.07
Poland,POL,2005,6,6.50,3.31,1.96,2.12,-35.82
Russia,RUS,2005,6,42.00,28.41,1.48,13.73,-51.68
Saudi Arabia,SAU,2005,6,9.00,3.75,2.40,2.94,-21.57
Singapore,SGP,2005,6,3.60,1.66,2.17,1.18,-29.16
South Africa,ZAF,2005,6,13.95,6.65,2.10,4.56,-31.43
South Korea,KOR,2005,6,2500.00,1005.50,2.49,816.99,-18.75
Sri Lanka,LKA,2005,6,175.00,99.95,1.75,57.19,-42.78
Sweden,SWE,2005,6,31.00,7.44,4.17,10.13,36.16
Switzerland,CHE,2005,6,6.30,1.25,5.05,2.06,65.04
Taiwan,TWN,2005,6,75.00,31.18,2.41,24.51,-21.38
Thailand,THA,2005,6,60.00,40.53,1.48,19.61,-51.62
Turkey,TUR,2005,6,4.00,1.37,2.92,1.31,-4.52
UAE,ARE,2005,6,9.00,3.67,2.45,2.94,-19.91
Ukraine,UKR,2005,6,7.25,5.06,1.43,2.37,-53.18
United States,USA,2005,6,3.06,1.00,3.06,1.00,0.00
Uruguay,URY,2005,6,44.00,24.13,1.82,14.38,-40.40
Venezuela,VEN,2005,6,5600.00,2629.62,2.13,1830.07,-30.41
