country,country_code,year,month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,
Argentina,ARG,2007,6,8.25,3.09,2.67,2.42,-21.74,
Australia,AUS,2007,6,3.45,1.17,2.95,1.01,-13.53,
Brazil,BRA,2007,6,6.90,1.91,3.61,2.02,5.77,
Britain,GBR,2007,6,1.99,0.50,4.01,0.58,17.51,
Canada,CAN,2007,6,3.88,1.05,3.68,1.14,8.01,
Chile,CHL,2007,6,1565.00,526.75,2.97,458.94,-12.87,
China,CHN,2007,6,11.00,7.60,1.45,3.23,-57.58,
Colombia,COL,2007,6,6900.00,1956.00,3.53,2023.46,3.45,
Costa Rica,CRI,2007,6,1130.00,518.63,2.18,331.38,-36.10,
Czech Republic,CZE,2007,6,52.90,21.12,2.51,15.51,-26.54,
Denmark,DNK,2007,6,27.75,5.46,5.08,8.14,49.04,
Egypt,EGY,2007,6,9.54,5.69,1.68,2.80,-50.83,
Euro area,,2007,6,3.06,0.73,4.17,0.90,22.20,
Hong Kong,HKG,2007,6,12.00,7.82,1.54,3.52,-54.97,
Hungary,HUN,2007,6,600.00,180.21,3.33,175.95,-2.36,
India,IND,2007,6,#N/A,#N/A,#N/A,#N/A,#N/A,
Indonesia,IDN,2007,6,15900.00,9015.00,1.76,4662.76,-48.28,
Israel,ISR,2007,6,#N/A,#N/A,#N/A,#N/A,#N/A,
Japan,JPN,2007,6,280.00,122.32,2.29,82.11,-32.87,
Latvia,LVA,2007,6,1.39,0.51,2.72,0.41,-20.21,
Lithuania,LTU,2007,6,6.60,2.53,2.61,1.94,-23.61,
Malaysia,MYS,2007,6,5.50,3.43,1.60,1.61,-53.04,
Mexico,MEX,2007,6,29.00,10.77,2.69,8.50,-21.02,
New Zealand,NZL,2007,6,4.60,1.28,3.59,1.35,5.41,
Norway,NOR,2007,6,40.00,5.81,6.88,11.73,101.76,
Pakistan,PAK,2007,6,140.00,60.37,2.32,41.06,-31.99,
Peru,PER,2007,6,9.50,3.17,3.00,2.79,-12.03,
Philippines,PHL,2007,6,85.00,45.90,1.85,24.93,-45.69,
Poland,POL,2007,6,6.90,2.75,2.51,2.02,-26.47,
Russia,RUS,2007,6,52.00,25.65,2.03,15.25,-40.54,
Saudi Arabia,SAU,2007,6,9.00,3.75,2.40,2.64,-29.63,
Singapore,SGP,2007,6,3.95,1.52,2.59,1.16,-23.98,
South Africa,ZAF,2007,6,15.50,6.97,2.22,4.55,-34.79,
South Korea,KOR,2007,6,2900.00,922.50,3.14,850.44,-7.81,
Sri Lanka,LKA,2007,6,210.00,111.40,1.89,61.58,-44.72,
Sweden,SWE,2007,6,33.00,6.79,4.86,9.68,42.49,
Switzerland,CHE,2007,6,6.30,1.21,5.20,1.85,52.54,
Taiwan,TWN,2007,6,75.00,32.77,2.29,21.99,-32.88,
Thailand,THA,2007,6,62.00,34.46,1.80,18.18,-47.23,
Turkey,TUR,2007,6,4.75,1.30,3.66,1.39,7.31,
UAE,ARE,2007,6,10.00,3.67,2.72,2.93,-20.16,
Ukraine,UKR,2007,6,9.25,5.03,1.84,2.71,-46.04,
United States,USA,2007,6,3.41,1.00,3.41,1.00,0.00,
Uruguay,URY,2007,6,62.00,23.95,2.59,18.18,-24.07,
Venezuela,VEN,2007,6,7400.00,2147.30,3.45,2170.09,1.06,
