country,country_code,year,month,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,ARG,2014,7,21,8.17,2.57,4.38,-46.39
Australia,AUS,2014,7,5.1,1.06,4.81,1.06,0.40
Brazil,BRA,2014,7,13,2.22,5.86,2.71,22.11
Britain,GBR,2014,7,2.89,0.59,4.93,0.60,2.71
Canada,CAN,2014,7,5.64,1.07,5.25,1.18,9.51
Chile,CHL,2014,7,2100,564.14,3.72,437.96,-22.37
China,CHN,2014,7,16.9,6.20,2.73,3.52,-43.14
Colombia,COL,2014,7,8600,1847.65,4.65,1793.53,-2.93
Costa Rica,CRI,2014,7,2150,537.30,4.00,448.38,-16.55
Czech Republic,CZE,2014,7,70.45,20.39,3.46,14.69,-27.94
Denmark,DNK,2014,7,28.5,5.54,5.15,5.94,7.31
Egypt,EGY,2014,7,16.93,7.15,2.37,3.53,-50.62
Euro area,,2014,7,3.67923829,0.74,4.95,0.77,3.31
Hong Kong,HKG,2014,7,18.8,7.75,2.43,3.92,-49.41
Hungary,HUN,2014,7,860,228.31,3.77,179.35,-21.44
India,IND,2014,7,105,60.09,1.75,21.90,-63.56
Indonesia,IDN,2014,7,27939,11505.00,2.43,5826.69,-49.36
Israel,ISR,2014,7,17.5,3.41,5.13,3.65,6.91
Japan,JPN,2014,7,370,101.53,3.64,77.16,-24.00
Lithuania,LTU,2014,7,8.95,2.56,3.49,1.87,-27.22
Malaysia,MYS,2014,7,7.63,3.17,2.41,1.59,-49.76
Mexico,MEX,2014,7,42,12.93,3.25,8.76,-32.27
New Zealand,NZL,2014,7,5.7,1.15,4.94,1.19,3.12
Norway,NOR,2014,7,48,6.19,7.76,10.01,61.79
Pakistan,PAK,2014,7,300,98.68,3.04,62.57,-36.60
Peru,PER,2014,7,10,2.79,3.59,2.09,-25.20
Philippines,PHL,2014,7,160,43.21,3.70,33.37,-22.77
Poland,POL,2014,7,9.2,3.07,3.00,1.92,-37.53
Russia,RUS,2014,7,89,34.84,2.55,18.56,-46.72
Saudi Arabia,SAU,2014,7,11,3.75,2.93,2.29,-38.83
Singapore,SGP,2014,7,4.7,1.24,3.80,0.98,-20.82
South Africa,ZAF,2014,7,24.5,10.51,2.33,5.11,-51.41
South Korea,KOR,2014,7,4100,1023.75,4.00,855.06,-16.48
Sri Lanka,LKA,2014,7,350,130.26,2.69,72.99,-43.96
Sweden,SWE,2014,7,40.7,6.84,5.95,8.49,24.17
Switzerland,CHE,2014,7,6.16,0.90,6.83,1.28,42.36
Taiwan,TWN,2014,7,79,29.98,2.63,16.48,-45.05
Thailand,THA,2014,7,99,31.78,3.12,20.65,-35.03
Turkey,TUR,2014,7,9.25,2.09,4.42,1.93,-7.75
UAE,ARE,2014,7,13,3.67,3.54,2.71,-26.19
Ukraine,UKR,2014,7,19,11.69,1.63,3.96,-66.09
United States,USA,2014,7,4.795,1.00,4.80,1.00,0.00
Uruguay,URY,2014,7,113,22.97,4.92,23.57,2.60
Venezuela,VEN,2014,7,75,11.00,6.82,15.64,42.19
Vietnam,VNM,2014,7,60000,21230.00,2.83,12513.03,-41.06
Austria,AUT,2014,7,3.39,0.74,4.56,0.71,-4.81
Belgium,BEL,2014,7,3.7,0.74,4.98,0.77,3.89
Estonia,EST,2014,7,2.9,0.74,3.90,0.60,-18.57
Finland,FIN,2014,7,4.1,0.74,5.52,0.86,15.12
France,FRA,2014,7,3.9,0.74,5.25,0.81,9.51
Germany,DEU,2014,7,3.67,0.74,4.94,0.77,3.05
Greece,GRC,2014,7,3.05,0.74,4.11,0.64,-14.36
Ireland,IRL,2014,7,3.49,0.74,4.70,0.73,-2.01
Italy,ITA,2014,7,3.85,0.74,5.18,0.80,8.10
Netherlands,NLD,2014,7,3.45,0.74,4.64,0.72,-3.13
Portugal,PRT,2014,7,3,0.74,4.04,0.63,-15.77
Spain,ESP,2014,7,3.65,0.74,4.91,0.76,2.49
,,,,,,,,
